"S.No","Zone & Circle","Ward Name","Vehicle Number","Vehicle Type","Route Name","Total","Covered","Not Covered","Coverage","Date","Route In Time","Route Out Time","Route Time"
216,"Z1-C1","64-Ghati Bahalray","DL51GD9464","Primary - AUTO TIPPER 3 WHEELER","W64ER1",685,0,685,0,"27-04-2026","NA","NA","NA"
217,"Z1-C1","35-Bankhandi","UP14PT7751","Primary - Auto Tipper","W35R1",627,0,627,0,"27-04-2026","NA","NA","NA"
218,"Z2-C1","55-Govind Nagar","UP16RT3858","Primary - AUTO TIPPER EV","W55R1",584,0,584,0,"27-04-2026","NA","NA","NA"
219,"Z1-C1","61-Chaubia Para","M256 UP85ET 7861","Primary - Auto Tipper","W61R1_C",565,0,565,0,"27-04-2026","NA","NA","NA"
220,"Z1-C1","14-Lakshmi Nagar Yamunapar","M124 DL51EV0233","Primary - AUTO TIPPER 3 WHEELER","W14ER1",553,0,553,0,"27-04-2026","NA","NA","NA"
221,"Z4-C1","50-Patharpura","DL51GD9579","Primary - AUTO TIPPER 3 WHEELER","W50ER1",526,0,526,0,"27-04-2026","NA","NA","NA"
222,"Z2-C1","20-Krishna Nagar First","M128 DL51GD9569","Primary - Auto Tipper","W20ER1",511,0,511,0,"27-04-2026","NA","NA","NA"
223,"Z1-C1","02-Ambedkar Nagar","RJ06GD1038","Primary - Auto Tipper","W2R3_C",460,0,460,0,"27-04-2026","NA","NA","NA"
224,"Z4-C1","13-Sunrakh","M008 UP14PT7996","Primary - Auto Tipper","W13ER1_N",427,0,427,0,"27-04-2026","NA","NA","NA"
225,"Z1-C1","65-Holi Gali","M256 UP85ET 7861","Primary - Auto Tipper","W65R2_C",424,0,424,0,"27-04-2026","NA","NA","NA"
226,"Z4-C1","67-Kemar Van","M196 DL51GD9113_C","Primary - AUTO TIPPER 3 WHEELER","W67ER1",383,0,383,0,"27-04-2026","NA","NA","NA"
227,"Z1-C1","07-Lohvan","MR041-70147558","Primary - Manual Rickshaw","W7MR1",344,0,344,0,"27-04-2026","NA","NA","NA"
228,"Z2-C1","17-Bairaagpura","MR024-70143946","Primary - Wheel Barrow","W17MR3",322,0,322,0,"27-04-2026","NA","NA","NA"
229,"Z2-C1","17-Bairaagpura","MR024-70143946","Primary - Wheel Barrow","W17MR2",321,0,321,0,"27-04-2026","NA","NA","NA"
230,"Z1-C1","61-Chaubia Para","MR047-70145297","Primary - Wheel Barrow","W61WBR1",320,0,320,0,"27-04-2026","NA","NA","NA"
231,"Z1-C1","61-Chaubia Para","MR022-70148549","Primary - Wheel Barrow","W61WBR2",315,0,315,0,"27-04-2026","NA","NA","NA"
232,"Z1-C1","61-Chaubia Para","MR022-70148549","Primary - Wheel Barrow","W61WBR4",314,0,314,0,"27-04-2026","NA","NA","NA"
233,"Z4-C1","21-Chaitanya Bihar","M022 UP14PT7993_C","Primary - Auto Tipper","W21R5",299,0,299,0,"27-04-2026","NA","NA","NA"
234,"Z1-C1","02-Ambedkar Nagar","MR050-70147392","Primary - Manual Rickshaw","W2T3",274,0,274,0,"27-04-2026","NA","NA","NA"
235,"Z3-C1","38-Civil Lines","M013 UP14PT7750","Primary - Auto Tipper","W38R2",257,0,257,0,"27-04-2026","NA","NA","NA"
236,"Z2-C1","17-Bairaagpura","MR024-70143946","Primary - Wheel Barrow","W17MR1",257,0,257,0,"27-04-2026","NA","NA","NA"
237,"Z1-C1","02-Ambedkar Nagar","MR050-70147392","Primary - Manual Rickshaw","W2T4",255,0,255,0,"27-04-2026","NA","NA","NA"
238,"Z3-C1","52-Chandrapuri","MR002-70146006","Primary - Wheel Barrow","W52MR1",250,0,250,0,"27-04-2026","NA","NA","NA"
239,"Z1-C1","07-Lohvan","MR041-70147558","Primary - Manual Rickshaw","W7MR2",250,0,250,0,"27-04-2026","NA","NA","NA"
240,"Z1-C1","14-Lakshmi Nagar Yamunapar","MR007-70147996","Primary - Manual Rickshaw","W14MR1",250,0,250,0,"27-04-2026","NA","NA","NA"
241,"Z2-C1","45-Birla Mandir","MR009-70145685","Primary - Wheel Barrow","W45MR1",250,0,250,0,"27-04-2026","NA","NA","NA"
242,"Z1-C1","05-Bharatpur Gate","MR030-70143656","Primary - Manual Rickshaw","W5MR1",250,0,250,0,"27-04-2026","NA","NA","NA"
243,"Z3-C1","41-Dhaulipiau","MR027-70143441","Primary - Manual Rickshaw","W41MR1",247,0,247,0,"27-04-2026","NA","NA","NA"
244,"Z4-C1","21-Chaitanya Bihar","UP85AG0804","Primary - Auto Tipper","W21R6_C",238,0,238,0,"27-04-2026","NA","NA","NA"
245,"Z4-C1","09-Gandhi Nagar","MR008-70148556","Primary - Manual Rickshaw","W9MR1",236,0,236,0,"27-04-2026","NA","NA","NA"
246,"Z2-C1","56-Mandi Randas","MR035-70148598","Primary - Wheel Barrow","W56WBR1",190,0,190,0,"27-04-2026","NA","NA","NA"
247,"Z1-C1","05-Bharatpur Gate","UP16RT3856","Primary - AUTO TIPPER EV","W5R2_C",184,0,184,0,"27-04-2026","NA","NA","NA"
248,"Z2-C1","56-Mandi Randas","M016 UP14PT7747","Primary - Auto Tipper","W56R3_C",46,0,46,0,"27-04-2026","NA","NA","NA"
249,"Z2-C1","56-Mandi Randas","MR032-70145651","Primary - Wheel Barrow","W56WBR3",35,0,35,0,"27-04-2026","NA","NA","NA"
250,"Z2-C1","45-Birla Mandir","MR040-70148093","Primary - Manual Rickshaw","W45MR2",29,0,29,0,"27-04-2026","NA","NA","NA"
