"S.No","Zone & Circle","Vehicle Number","Vehicle Type","Ward Name","Trip Count","Dump Site Name","Date","In Time(s)","Out Time(s)","Vehicle Route","TAT"
"30","2","UP85AG0725","Secondary - Refuse Compactor (RC)","12-Radhe Shyam Colony","1","Mathura MSW Plant","10-01-2026","01:39 PM","01:41 PM","","1"
"31","3","UP85AG0722","Secondary - Refuse Compactor (RC)","01-Birjapur","1","RC Sonveer","10-01-2026","08:19 AM","08:22 AM","","2"
"32","3","UP85AG0712","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","10-01-2026","10:08 AM | 12:10 PM","10:10 AM | 12:20 PM","","5"
"33","4","UP14PT8106","Primary - Auto Tipper","51-Gaushala Nagar","3","FCTS PLANT","10-01-2026","08:55 AM | 11:21 AM | 12:57 PM","08:57 AM | 11:29 AM | 01:04 PM","W51R2","5"
"34","1","UP14PT7749","Primary - Auto Tipper","65-Holi Gali","1","Mathura MSW Plant","10-01-2026","01:34 PM","01:36 PM","W65R1","2"
"35","2","UP14ET1439 H","Secondary - HYVA","03-Girdharpur","1","Mathura MSW Plant","10-01-2026","01:36 PM","01:42 PM","","6"
"36","3","U85AG0875","Secondary - Tractor Trolley","01-Birjapur","2","Mathura MSW Plant","10-01-2026","12:16 PM | 02:09 PM","12:19 PM | 02:14 PM","","4"
"37","1","RJ06GD5343","Auto Tipper","18-General ganj","2","Mathura MSW Plant","10-01-2026","10:39 AM | 01:19 PM","10:42 AM | 01:21 PM","W18R1","2"
"38","1","RJ06GD5309","Primary - Auto Tipper","19-Ramnagar Yamunapar","1","Mathura MSW Plant","10-01-2026","12:07 PM","12:12 PM","W64R1","4"
"39","4","M278 UP85ET 7840","Primary - Auto Tipper","09-Gandhi Nagar","3","FCTS PLANT","10-01-2026","09:45 AM | 12:40 PM | 01:12 PM","09:50 AM | 12:42 PM | 01:14 PM","W9R2","2"
"40","4","M277 UP85ET 7842","Primary - Auto Tipper","21-Chaitanya Bihar","2","FCTS PLANT","10-01-2026","10:22 AM | 12:58 PM","10:33 AM | 01:16 PM","W21R1","14"
"41","3","M275 UP85AG7863","Primary - Auto Tipper","27-Baad","1","Mathura MSW Plant","10-01-2026","01:21 PM","01:22 PM","W27R2","1"
"42","1","M271 UP85ET 7847_C","Primary - Auto Tipper","65-Holi Gali","1","Mathura MSW Plant","10-01-2026","11:29 AM","11:30 AM","W65R4","1"
"43","4","M269 UP85ET 7841","Primary - Auto Tipper","21-Chaitanya Bihar","2","FCTS PLANT","10-01-2026","09:57 AM | 01:03 PM","10:07 AM | 01:28 PM","W21R2","16"
"44","3","M268 UP85ET 7848","Primary - Auto Tipper","10-Aurangabad First","1","Mathura MSW Plant","10-01-2026","01:00 PM","01:01 PM","W10R1,W10R2,W10R3","1"
"45","1","M266 UP85ET 7864","Primary - Auto Tipper","14-Lakshmi Nagar Yamunapar","2","FCTS PLANT","10-01-2026","07:13 AM | 01:21 PM","07:17 AM | 02:12 PM","W60R1,W8R2","27"
"46","4","M265 UP14PT8095","Primary - Auto Tipper","34-Radhaniwas","2","FCTS PLANT","10-01-2026","10:07 AM | 12:29 PM","10:15 AM | 12:41 PM","W34R2","9"
"47","4","M263 UP85ET 7862","Primary - Auto Tipper","21-Chaitanya Bihar","3","FCTS PLANT","10-01-2026","06:55 AM | 10:07 AM | 12:35 PM","06:58 AM | 10:21 AM | 12:41 PM","W21R4","7"
"48","2","M262 UP85ET 7851","Primary - Auto Tipper","56-Mandi Randas","1","Mathura MSW Plant","10-01-2026","10:32 AM","10:34 AM","W56R5","1"
"49","4","M260 UP85ET 7859","Primary - Auto Tipper","70-Biharipur","1","FCTS PLANT","10-01-2026","12:37 PM","12:44 PM","W70R1","6"
"50","1","M259 UP85ET 7852","Primary - Auto Tipper","07-Lohvan","1","Mathura MSW Plant","10-01-2026","10:19 AM","10:23 AM","W7R1,W19R1","3"
"51","2","M258 UP85ET 7843","Primary - Auto Tipper","48-Satoha Asangpur","1","Mathura MSW Plant","10-01-2026","12:19 PM","12:20 PM","W48R1","1"
"52","2","M257 UP85ET 7845","Primary - Auto Tipper","48-Satoha Asangpur","1","Mathura MSW Plant","10-01-2026","12:15 PM","12:17 PM","W3R3","1"
"53","1","M256 UP85ET 7861","Primary - Auto Tipper","14-Lakshmi Nagar Yamunapar","2","Mathura MSW Plant","10-01-2026","10:23 AM | 11:50 AM","10:25 AM | 11:52 AM","W14R1","1"
"54","2","M255 UP85ET 7849","Primary - Auto Tipper","16-Bakalpur","1","Mathura MSW Plant","10-01-2026","10:02 AM","10:04 AM","W16R3","2"
"55","1","M252 UP85ET 7850_C","Primary - Auto Tipper","61-Chaubia Para","1","Mathura MSW Plant","10-01-2026","09:23 AM","09:25 AM","W61R1_C","1"
"56","4","M244 UP85AG0789_C","Primary - Auto Tipper","51-Gaushala Nagar","2","FCTS PLANT","10-01-2026","07:54 AM | 09:23 AM","07:56 AM | 09:47 AM","W51R3","12"
"57","2","M238 UP85ET 7831","Primary - Auto Tipper","36-Jaisingh Pura","1","Mathura MSW Plant","10-01-2026","11:49 AM","11:50 AM","W36R1","1"
"58","2","M236 UP85ET 7830","Primary - Auto Tipper","47-Dwarkapuri","1","Mathura MSW Plant","10-01-2026","10:41 AM","10:44 AM","W47R1","3"
"59","3","M235 UP85ET 7838_C","Primary - Auto Tipper","52-Chandrapuri","1","Mathura MSW Plant","10-01-2026","11:37 AM","11:40 AM","W52R2","2"
"60","1","M232 UP85ET 7839_C","Primary - Auto Tipper","65-Holi Gali","1","Mathura MSW Plant","10-01-2026","12:02 PM","12:07 PM","W65R5","4"
"61","2","M231 UP85ET 7837","Primary - Auto Tipper","54-Pratap Nagar","1","Mathura MSW Plant","10-01-2026","12:13 PM","12:15 PM","W54R3","1"
"62","4","M222 UP85AG0952","Primary - Auto Tipper","21-Chaitanya Bihar","3","FCTS PLANT","10-01-2026","09:23 AM | 10:14 AM | 12:39 PM","09:27 AM | 10:23 AM | 12:58 PM","W67R3","10"
"63","4","M219 UP85AG0962","Primary - Auto Tipper","67-Kemar Van","2","FCTS PLANT","10-01-2026","08:05 AM | 11:25 AM","08:07 AM | 11:36 AM","W67R1","5"
"64","4","M209  UP85AG0679","Primary - Auto Tipper","70-Biharipur","1","FCTS PLANT","10-01-2026","09:48 AM","09:49 AM","","1"
"65","2","M207 UP85AG0965","Primary - Auto Tipper","47-Dwarkapuri","1","Mathura MSW Plant","10-01-2026","12:18 PM","12:19 PM","W60R2,W22R1","1"
"66","4","M200 UP85AG0968","Primary - Auto Tipper","69-Ratan Chhatri","2","FCTS PLANT","10-01-2026","10:07 AM | 12:43 PM","10:19 AM | 01:05 PM","W69R1,W13R2","16"
"67","4","M197 DL51GD9401_C","Primary - Auto Tipper","69-Ratan Chhatri","2","FCTS PLANT","10-01-2026","07:55 AM | 09:18 AM","09:00 AM | 09:43 AM","W69R3","45"
"68","4","M196 DL51GD9113_C","Primary - Auto Tipper","67-Kemar Van","4","FCTS PLANT","10-01-2026","07:53 AM | 08:18 AM | 09:45 AM | 10:54 AM","07:54 AM | 08:20 AM | 09:47 AM | 10:57 AM","W67R4","2"
"69","3","M181 UP85AG0763","Primary - Auto Tipper","52-Chandrapuri","1","Mathura MSW Plant","10-01-2026","01:19 PM","01:21 PM","W52R1","2"
"70","3","M179 UP85AG0720_C","Primary - Auto Tipper","27-Baad","1","Mathura MSW Plant","10-01-2026","12:27 PM","12:29 PM","W27R1","1"
"71","1","M178 UP85AG0760","Primary - Auto Tipper","68-Shanti Nagar","1","RC veeresh","10-01-2026","09:09 AM","09:24 AM","W68R1","15"
"72","1","M174 UP85AG0771","Primary - Auto Tipper","18-General ganj","1","Mathura MSW Plant","10-01-2026","10:19 AM","10:21 AM","W18R3","2"
"73","2","M173 UP85AG0884","Primary - Auto Tipper","45-Birla Mandir","1","Mathura MSW Plant","10-01-2026","08:50 AM","09:07 AM","W45R3","16"
"74","1","M142 UP85ET 7844","Primary - Auto Tipper","22-Badhri Nagar","1","Mathura MSW Plant","10-01-2026","10:59 AM","11:00 AM","W39R3","1"
"75","1","M132    UP85AG0770","Primary - Auto Tipper","35-Bankhandi","1","Mathura MSW Plant","10-01-2026","12:07 PM","12:10 PM","W35R1","2"
"76","2","M127   UP85AG0762","Primary - Auto Tipper","30-Krishna Nagar Second","1","RC Sonveer","10-01-2026","11:00 AM","11:03 AM","W30R2","2"
"77","1","M117   UP85AG0765_C","Primary - Auto Tipper","65-Holi Gali","1","Mathura MSW Plant","10-01-2026","11:58 AM","11:59 AM","W65R2","1"
